module_key,module_index,level,owner_rva,reference_site_rva,reference_site_runtime,target_rva,target_section,reference_kind,value,family_id
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E26C,0x092B7F6C,0x002D8764,.data,float32,2 / 0x40000000,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E2B4,0x092B7FB4,0x002AFEC4,.data,float32,0.200000003 / 0x3E4CCCCD,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E2FC,0x092B7FFC,0x002D8788,.data,float32,1 / 0x3F800000,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E404,0x092B8104,0x002D8774,.data,float32,0 / 0x00000000,WF-030
LEVEL_01,1,Pokitaru,0x0017D49C,0x0017E4F4,0x092B81F4,0x002D8780,.data,float32,0.999000013 / 0x3F7FBE77,WF-030
LEVEL_01,1,Pokitaru,0x001901F4,0x0019030C,0x092CA00C,0x002D9C08,.data,message_or_literal,333?b,WF-012
LEVEL_01,1,Pokitaru,0x001901F4,0x0019030C,0x092CA00C,0x002D9C08,.data,float32,0.0111111123 / 0x3C360B62,WF-012
LEVEL_02,2,Ryllus,0x0000E8C8,0x0000E918,0x09148618,0x002C15D8,.data,message_or_literal,L?333,WF-020
LEVEL_02,2,Ryllus,0x0000E8C8,0x0000E918,0x09148618,0x002C15D8,.data,float32,-0.699999988 / 0xBF333333,WF-020
LEVEL_02,2,Ryllus,0x0000E8C8,0x0000E97C,0x0914867C,0x002C15DC,.data,float32,0.251327425 / 0x3E80ADFD,WF-020
LEVEL_02,2,Ryllus,0x000110E0,0x000112A8,0x0914AFA8,0x002E17F0,.data,float32,0 / 0x00000000,WF-015
LEVEL_02,2,Ryllus,0x0002923C,0x00029278,0x09162F78,0x002C6E3C,.data,float32,0.0333333351 / 0x3D088889,WF-014
LEVEL_02,2,Ryllus,0x0002923C,0x000292AC,0x09162FAC,0x002C6E34,.data,float32,0.150000006 / 0x3E19999A,WF-014
