class_name,prx_count,max_priority,classifications,prxs,update_addresses
CrystalGroundShard,13,115,FRAME_BASED_HIGH:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09267E68;0x0927B198;0x09263370;0x0926B880;0x0925DB14;0x0925A63C;0x09265574;0x092756B8;0x0925BAE8;0x09261CC0;0x09233BC0;0x0925E404;0x09255FE8
MobyIce,13,115,FRAME_BASED_HIGH:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0929211C;0x092A6D84;0x09299C00;0x0929A010;0x0928ED0C;0x0928B2BC;0x092A2A0C;0x092B8648;0x092873EC;0x092918D8;0x0923C268;0x09277D0C;0x092762A0
SuckCannonManager,13,115,FRAME_BASED_HIGH:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_19.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x092B164C;0x092D4BC4;0x092C6F84;0x092BA4A8;0x092AEC00;0x092A8AB8;0x092C822C;0x092E0B88;0x092A7A74;0x092BE774;0x09292F1C;0x0929792C;0x0928F288
EnergyBlade,1,115,FRAME_BASED_HIGH:1,LEVEL_08.PRX,0x0928785C
PsychicGirder,1,115,FRAME_BASED_HIGH:1,LEVEL_10.PRX,0x092A513C
Lvl05MBBomb,1,111,FRAME_MOVEMENT_SUSPECT:1,LEVEL_05.PRX,0x09283FE8
Lvl09HeartPulse,1,111,FRAME_MOVEMENT_SUSPECT:1,LEVEL_09.PRX,0x09281AA4
MiniTurretBall,1,110,FRAME_MOVEMENT_SUSPECT:1,LEVEL_24.PRX,0x092740AC
GravityCrystal,13,100,FRAME_MOVEMENT_SUSPECT:13,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x0927CB30;0x09291B30;0x09279E6C;0x09285084;0x092716F0;0x0926A7B0;0x09283FBC;0x09291370;0x0926DC64;0x0927A128;0x09239A94;0x0926C460;0x09260C68
Polarizer,15,91,FRAME_MOVEMENT_SUSPECT:15,LEVEL_01.PRX;LEVEL_02_clean.PRX;LEVEL_03.PRX;LEVEL_04.PRX;LEVEL_05.PRX;LEVEL_06.PRX;LEVEL_07.PRX;LEVEL_08.PRX;LEVEL_09.PRX;LEVEL_10.PRX;LEVEL_18.PRX;LEVEL_19.PRX;LEVEL_22.PRX;LEVEL_23.PRX;LEVEL_24.PRX,0x09298D58;0x092AE69C;0x092AC9F8;0x092A190C;0x09294D3C;0x09291458;0x092A8E20;0x092C5304;0x0928F14C;0x092A0334;0x0928D59C;0x092849A8;0x0923D804;0x0927DD3C;0x0927C2D0
