"module_index","module_key","offset_hex","offset_dec","original_hex","patched_hex","flags","flags_noms","layer","layer_nom","ecrit_statiquement"
"9","LEVEL_09","0x2B7C70","2849904","0x3E567751","0x3DD67751","0","","2","armes","oui"
"9","LEVEL_09","0x2B7C78","2849912","0x3DCCCCCD","0x3D4CCCCD","0","","2","armes","oui"
"9","LEVEL_09","0x2B7C7C","2849916","0x3E800000","0x3E000000","0","","2","armes","oui"
"9","LEVEL_09","0x2B8774","2852724","0x3C23D657","0x3BA3D6DE","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B8778","2852728","0x3F7FFCB9","0x3F7FFF2E","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B8780","2852736","0x3CF5B920","0x3C75C033","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B8784","2852740","0x3F7FE283","0x3F7FF8A1","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B878C","2852748","0x41700000","0x41F00000","0","","4","cassables/boulons","oui"
"9","LEVEL_09","0x2B8920","2853152","0x3D75C291","0x3CF5C28F","0","","4","cassables/boulons","oui"
"9","LEVEL_09","0x2B8928","2853160","0x3DF5C28F","0x3D7D9C85","0","","4","cassables/boulons","oui"
"9","LEVEL_09","0x2B8930","2853168","0x3C888889","0x3C088889","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B8938","2853176","0x3DCC7578","0x3D4CB6F5","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2B893C","2853180","0x3F7EB898","0x3F7FAE19","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"9","LEVEL_09","0x2BC4BC","2868412","0x41700000","0x41F00000","0","","2","armes","oui"
"9","LEVEL_09","0x2BC4C0","2868416","0x40C00000","0x41400000","0","","2","armes","oui"
"9","LEVEL_09","0x2BECE0","2878688","0x3BF2B9D6","0x3B72B9D6","0","","2","armes","oui"
"9","LEVEL_09","0x2BECE4","2878692","0x3C360B61","0x3BB60B61","0","","2","armes","oui"
"9","LEVEL_09","0x2BECE8","2878696","0x3C888889","0x3C088889","0","","2","armes","oui"
"9","LEVEL_09","0x2BECEC","2878700","0x3D088889","0x3C888889","0","","2","armes","oui"
"9","LEVEL_09","0x2BECF0","2878704","0x3D088889","0x3C888889","0","","2","armes","oui"
"9","LEVEL_09","0x2BECF4","2878708","0x3D088889","0x3C888889","0","","2","armes","oui"
"9","LEVEL_09","0x2BECF8","2878712","0x3D088889","0x3C888889","0","","2","armes","oui"
"9","LEVEL_09","0x2BECFC","2878716","0x3D088889","0x3C888889","0","","2","armes","oui"
"9","LEVEL_09","0x2C01C0","2884032","0x3EC19D7F","0x3E419D7F","0","","2","armes","oui"
"9","LEVEL_09","0x2C01C4","2884036","0x3EC19D7F","0x3E419D7F","0","","2","armes","oui"
"9","LEVEL_09","0x2C01C8","2884040","0x3F20D97C","0x3EA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C01CC","2884044","0x3F20D97C","0x3EA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C01D8","2884056","0x3F19999A","0x3E99999A","0","","2","armes","oui"
"9","LEVEL_09","0x2C0584","2884996","0x42F00000","0x43700000","0","","2","armes","oui"
"9","LEVEL_09","0x2C078C","2885516","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C0790","2885520","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C0794","2885524","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C0798","2885528","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C079C","2885532","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C07A0","2885536","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C07A4","2885540","0x40400000","0x3FC00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C07C8","2885576","0x3DA0D97C","0x3D20D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07CC","2885580","0x3DA0D97C","0x3D20D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07D0","2885584","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07D4","2885588","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07D8","2885592","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07DC","2885596","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07E0","2885600","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07E4","2885604","0x3E20D97C","0x3DA0D97C","0","","2","armes","oui"
"9","LEVEL_09","0x2C07EC","2885612","0x42700000","0x42F00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C07F8","2885624","0x41700000","0x41F00000","0","","2","armes","oui"
"9","LEVEL_09","0x2C15D0","2889168","0x3E19999A","0x3D99999A","0","","2","armes","oui"
"9","LEVEL_09","0x2C1D58","2891096","0x3E75C28F","0x3DF5C28F","0","","1","socle","oui"
"9","LEVEL_09","0x2C2F8C","2895756","0x41F00000","0x42700000","0","","2","armes","oui"
"9","LEVEL_09","0x938B8","604344","0x0E4B933C","0x00000000","50","UNLOCK+CODE+OLD_JUMP","1","socle","oui"
"10","LEVEL_10","0x33B4","13236","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"10","LEVEL_10","0x33CC","13260","0x3C04BD08","0x3C04BC88","16","CODE","1","socle","oui"
"10","LEVEL_10","0x14958","84312","0x3C043D08","0x3C043C88","16","CODE","1","socle","oui"
"10","LEVEL_10","0x2824C","164428","0x27BDFFC0","0x00000007","20","CODE+CAVE_JUMP","4","cassables/boulons","oui"
"10","LEVEL_10","0x28250","164432","0xAFB00028","0x00000000","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x282E4","164580","0x46107380","0x00000000","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x2D6B8","186040","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x2D6D8","186072","0x46166301","0x461C6301","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x2D870","186480","0x46166300","0x461C6300","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x2E620","189984","0x46006506","0x460C6500","16","CODE","1","socle","oui"
"10","LEVEL_10","0x2E760","190304","0x2A240002","0x2A240001","16","CODE","1","socle","oui"
"10","LEVEL_10","0x4E248","320072","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x4E4B4","320692","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x4E884","321668","0x3C05BF80","0x3C05BF00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x105820","1071136","0x460F6300","0x00000000","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x105824","1071140","0xE60C0030","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x107C3C","1080380","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x107C58","1080408","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x10C664","1099364","0x3C073F80","0x3C073F00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x10E044","1105988","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x10E2AC","1106604","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x10EA30","1108528","0x3C05BF80","0x3C05BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x10ECA4","1109156","0x460D6300","0x00000001","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x10ECA8","1109160","0xE62C0004","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x10FF00","1113856","0x3C063D08","0x3C063C88","16","CODE","2","armes","oui"
"10","LEVEL_10","0x112808","1124360","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x112908","1124616","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x11649C","1139868","0x3C0641F0","0x3C064270","16","CODE","2","armes","oui"
"10","LEVEL_10","0x116A70","1141360","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x11AB1C","1157916","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x11D6C8","1169096","0x3C053F80","0x3C053F00","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x11DF20","1171232","0x24040002","0x24040004","16","CODE","4","cassables/boulons","oui"
"10","LEVEL_10","0x126CD8","1207512","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x1274F8","1209592","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x12756C","1209708","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x128060","1212512","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x139338","1282872","0x3C043F80","0x3C043F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x1395D8","1283544","0x3C06BF80","0x3C06BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x139730","1283888","0x34040003","0x34040006","16","CODE","2","armes","oui"
"10","LEVEL_10","0x14A9AC","1354156","0x46146301","0x00000004","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x14A9B0","1354160","0xE62C0008","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x173158","1519960","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x173B00","1522432","0x3C053F80","0x3C053F00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x179B10","1547024","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x179EC8","1547976","0x3C043D08","0x3C043C88","16","CODE","2","armes","oui"
"10","LEVEL_10","0x179F10","1548048","0x3C04BF80","0x3C04BF00","16","CODE","2","armes","oui"
"10","LEVEL_10","0x17C920","1558816","0x46148B01","0x00000002","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x17C94C","1558860","0x46146301","0x00000003","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x17C950","1558864","0x4616603C","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x1836DC","1586908","0xC62C0010","0x00000005","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x1836E0","1586912","0x46166301","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x187090","1601680","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x1871E4","1602020","0x3C04BF80","0x3C04BF00","16","CODE","8","particules","oui"
"10","LEVEL_10","0x1888B4","1607860","0x3C044000","0x3C043F80","16","CODE","1","socle","oui"
"10","LEVEL_10","0x1A1E20","1711648","0xC6EC0008","0x00000006","20","CODE+CAVE_JUMP","2","armes","oui"
"10","LEVEL_10","0x1A1E24","1711652","0xC7CD0010","0x00000000","16","CODE","2","armes","oui"
"10","LEVEL_10","0x2D4488","2966664","0x42700000","0x42F00000","0","","2","armes","oui"
"10","LEVEL_10","0x2D448C","2966668","0x42700000","0x42F00000","0","","2","armes","oui"
"10","LEVEL_10","0x2D4BA8","2968488","0x40000000","0x3F800000","0","","2","armes","oui"
"10","LEVEL_10","0x2D4FE8","2969576","0x3C360B62","0x3BB60B62","0","","2","armes","oui"
"10","LEVEL_10","0x2D4FEC","2969580","0x41880000","0x41080000","0","","8","particules","oui"
"10","LEVEL_10","0x2D4FF4","2969588","0x3DD67751","0x3D567751","0","","2","armes","oui"
"10","LEVEL_10","0x2D4FF8","2969592","0x3E567751","0x3DD67751","0","","2","armes","oui"
"10","LEVEL_10","0x2D5000","2969600","0x3DCCCCCD","0x3D4CCCCD","0","","2","armes","oui"
"10","LEVEL_10","0x2D5004","2969604","0x3E800000","0x3E000000","0","","2","armes","oui"
"10","LEVEL_10","0x2D5C94","2972820","0x3C23D657","0x3BA3D6DE","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5C98","2972824","0x3F7FFCB9","0x3F7FFF2E","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5CA0","2972832","0x3CF5B920","0x3C75C033","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5CA4","2972836","0x3F7FE283","0x3F7FF8A1","1","CONTINUOUS","4","cassables/boulons","non (surveillance)"
"10","LEVEL_10","0x2D5CAC","2972844","0x41700000","0x41F00000","0","","4","cassables/boulons","oui"
"10","LEVEL_10","0x2D5E40","2973248","0x3D75C291","0x3CF5C28F","0","","4","cassables/boulons","oui"
"10","LEVEL_10","0x2D5E48","2973256","0x3DF5C28F","0x3D7D9C85","0","","4","cassables/boulons","oui"
