module_key,module_index,level,descriptor_rva,descriptor_runtime,object_name,callback_count,callback_rvas,callback_runtime_addresses,pvar_schema
LEVEL_02,2,Ryllus,0x002E6090,0x0941FD90,BoltGrabber,3,0x00127100; 0x00127108; 0x00127110,0x09260E00; 0x09260E08; 0x09260E10,
LEVEL_02,2,Ryllus,0x002E6154,0x0941FE54,Bombglove,3,0x00127118; 0x001271F0; 0x001276A0,0x09260E18; 0x09260EF0; 0x092613A0,
LEVEL_02,2,Ryllus,0x002E64B8,0x094201B8,BotFlinger,3,0x00127C30; 0x001280E4; 0x00128118,0x09261930; 0x09261DE4; 0x09261E18,f32 beamDistSp; Moby *pReticleMatch; f32 flingStrength; f32 forceMax; VEC4 velocity; VEC4 curMove; VEC4 beam; VEC3 rotSp; MobyLink botController; ANIM_Manipulator animManip; VEC3 scaleSp; f32 origBeamLen; f32 camDist; f32 camHeight; f32 camOfsUp; VEC3 lastAimPos; f32 force; Toggle useReticle; u8 l_shoulder; u8 rendered; u8 blendHead; u8 lastPosValid; u8 lastPosUpSlope; Toggle stationary; u8 pad1; f32 upScale; TieLink base; f32 lastForce; f32 lastAng;
LEVEL_02,2,Ryllus,0x002E6530,0x09420230,BotFlingerArm,3,0x0012A4A8; 0x0012A54C; 0x0012A580,0x092641A8; 0x0926424C; 0x09264280,
LEVEL_02,2,Ryllus,0x002E6718,0x09420418,Boulder,3,0x0012B6E8; 0x0012B710; 0x0012BC20,0x092653E8; 0x09265410; 0x09265920,Curve * pPath; VEC3 rotSp; f32 speedXZ; f32 accelXZ; VEC2 targetPos; VEC4 rotAxis; f32 rotAmnt; Moby *pController; SND_Positional *pMoveSound; u8 pathIdx; u8 pad[3];
LEVEL_02,2,Ryllus,0x002E6820,0x09420520,BoulderController,3,0x0012C208; 0x0012C3C8; 0x0012C3D0,0x09265F08; 0x092660C8; 0x092660D0,f32 delayRelease; CurveLink path; TriggerLink initTrigger; TriggerLink destroyTrigger; TriggerLink speedTrigger; f32 speedUpTimer; Toggle speedUp; u8 pad[7];
LEVEL_02,2,Ryllus,0x002E6898,0x09420598,BoxBreaker,3,0x0012C6AC; 0x0012C6B4; 0x0012C6BC,0x092663AC; 0x092663B4; 0x092663BC,
LEVEL_02,2,Ryllus,0x002E68F8,0x094205F8,BoxBreakerHelp,3,0x0012C748; 0x0012C750; 0x0012C758,0x09266448; 0x09266450; 0x09266458,
LEVEL_02,2,Ryllus,0x002E6B18,0x09420818,BuryBlossom,4,0x0012C7A4; 0x0012CB5C; 0x0012D728; 0x0012CBA4,0x092664A4; 0x0926685C; 0x09267428; 0x092668A4,TriggerLink detectArea; MobyLink enemyController; TriggerLink updateArea; MobyLink neighborBlossoms[ 2 ]; u32 pad[ 3 ];
LEVEL_02,2,Ryllus,0x002E6C5C,0x0942095C,BuryBlossomShot,3,0x0012DE80; 0x0012DE88; 0x0012DE90,0x09267B80; 0x09267B88; 0x09267B90,
